lemma	part_of_speech	translations
affenpinscher	noun	аффенпи́нчер
afghan	adjective	афга́нский|афганский|афга́нец|афга́нка|афга́нская борза́я|пушту́н
afghan hound	noun	афга́н|афга́нская борза́я
afghanistan	noun	Афганистан|Афга́н|Афганиста́н
africa	noun	Африка|А́фрика
african	adjective	африка́нский|африканский|африка́нец|африка́нка|африканец
african union	noun	Африка́нский сою́з
african blue tit	noun	африка́нская лазо́ревка
african buffalo	noun	африка́нский бу́йвол|ка́фрский бу́йвол|чёрный буйвол
african clawed frog	noun	гла́дкая шпо́рцевая лягу́шка
african crake	noun	африка́нский коросте́ль
african elephant	noun	африка́нский слон
african forest elephant	noun	лесно́й слон
african hunting dog	noun	гие́новая соба́ка|гиенови́дная соба́ка
african jacana	noun	африка́нская яка́на
african penguin	noun	африка́нский пингви́н|очко́вый пингви́н
african savannah elephant	noun	сава́нный слон
african-american	adjective	афроамериканский|америка́нская негритя́нка|америка́нский негр|афро-америка́нец|афро-америка́нка|чёрная америка́нка
african-american vernacular english	noun	Афроамериканский англи́йский
africanist	noun	африкани́ст|африкани́стка
africanization	noun	африканиза́ция
afrikaans	adjective	африка́анс|африкаанс|Африкаанс
afrikaner	noun	африка́ндер|африка́нер
afro-		а́фро-|африка́нско-
afro-eurasia	noun	А́фро-Евра́зия
afroasiatic	adjective	афрази́йский
afrophobia	noun	афрофо́бия
afsharid	adjective	афшари́дский|Афшари́д
afyonkarahisar	noun	Афьонкарахисар
aga	noun	Ага́
agamemnon	noun	Агаме́мнон|Агамемнон
agarak	noun	Агара́к
agartala	noun	Ага́ртала
agassi	noun	Ага́сси
agastya	noun	Ага́стья
agatha	noun	Ага́та|Ага́фия
agdam	noun	Агда́м
age of enlightenment	noun	эпо́ха просвеще́ния
agenor	noun	Агено́р
agent orange	noun	аге́нт о́ранж|э́йджент о́рандж
aghayan	noun	Агая́н
aghori	noun	агхо́ра|агхо́ри
aghul	noun	агу́лы|агу́льский|агу́льцы
agin-buryat autonomous okrug	noun	Аги́нский Буря́тский автоно́мный о́круг
agin-buryat okrug	noun	Аги́нский Буря́тский о́круг
aginskoye	noun	Аги́нское
agios theologos	noun	Агиос Феологос
aglaia	noun	Агла́я|Аглая
agnes	noun	Агне́сса|Агнес
agni	noun	Агни́
agnus dei	noun	[[а́гнец]] [[бо́жий]]
agra	noun	А́гра
agrigento	noun	Агридже́нто|Агридженто
agrinio	noun	Агри́нион
agrippa	noun	Агри́ппа
aguascalientes	noun	Агуаскалье́нтес
ah puch	noun	Ах-Пуч
ahab	noun	Аха́в
ahalya	noun	Аха́лья
ahasuerus	noun	Артаксе́кс|Ахашверо́ш|Агасфе́р
ahmadi	noun	ахмади́
ahmadiyya	noun	ахмадие́
ahmed	noun	Ахма́д|Ахме́д
ahmedabad	noun	Ахмадаба́д
ahnenerbe	noun	анене́рбе
ahriman	noun	А́нгра-Ма́йнью|Арима́н
ahura mazda	noun	Аху́ра-Ма́зда|Орму́зд
aichi	noun	А́йти
aida	noun	Аи́да
aidan	noun	А́йдан
aidi	noun	аи́ди
aidos	noun	А́йдос
aigaleo	noun	Эга́лео
aigun	noun	Айгунь
aihui	noun	Айхуэй
ainu	noun	а́йну|а́йны|айнский
aion	noun	Эо́н
airavata	noun	Айрава́та
airbus	noun	Аэро́бус|Э́йрбас|Эйрба́с|аэро́бус
airedale terrier	noun	эрдельтерье́р
aisha	noun	Айша
aishwarya	noun	Айшвария
aizawl	noun	Аиджа́л|Айза́ул
aizpute	noun	А́йзпуте
ajaccio	noun	Аяччо
ajami turkic	noun	[[тюркско-аджемский]] [[язы́к]]|аджемский тюркский [[язы́к]]|аджемско-тюркский|закавказский татарский
ajax	noun	Ая́кс
ak koyunlu	noun	Ак-Коюнлу́
akan	noun	ака́н|аканский
akhalkalaki	noun	Ахалкала́ки
akhaltsikhe	noun	Ахалицихе|Ахалци́хе|Ахалцых
akhenaten	noun	Эхнато́н
akhetaten	noun	Ахетато́н|Эхетато́н
akhuryan	noun	Ахуря́н
akita	noun	А́кита|А́кита-ину
akkad	noun	Акка́д
akkadian	adjective	акка́дский
aklanon	noun	акланон
aknīste	noun	А́книсте
akrotiri and dhekelia	noun	Акроти́ри и Деке́лия
aksai chin	noun	Аксайчи́н
akshay	noun	Акшай
aksum	noun	Аксум
aktau	noun	Акта́у
akutagawa	noun	Акутага́ва
al-nassr	noun	Ан-Наср
al-raqqah	noun	Ра́кка|Эр-Ра́кка
alabama	noun	алаба́ма|Алаба́ма|Алабама|[[язы́к]] [[алаба́ма]]
aladdin	noun	Аладди́н
alagoas	noun	Алаго́ас
alakananda	noun	Алакна́нда
alala	noun	Алала́
alan	noun	ала́н|А́лан
alania	noun	Ала́ния
alanic	adjective	ала́нский
alaric	noun	Ала́рих
alaska	noun	Аля́ска|Аляска
alaska pollock	noun	минта́й
alaskan malamute	noun	аляскинский маламут
alaverdi	noun	Алаверди́
alazani	noun	Алаза́ни|Алаза́нь
alba	noun	А́лба|а́льба
albania	noun	Албания|Алба́ния
albanian	adjective	алба́нский|албанский|алба́нка|алба́нец|албанец|албанский язык
albanian orthodox church	noun	Албанская православная церковь
albanisation	noun	албаниза́ция
albanologist	noun	албаноло́г
albanology	noun	албанове́дение
albany	noun	О́лбани
albert	noun	Альбе́рт|Альберт
alberta	noun	Альбе́рта|Альберта
albin	noun	Альби́н
albina	noun	Альби́на
albion	noun	Альбио́н|Тума́нный Альбио́н
albireo	noun	Альбире́о
alborz	noun	Эльбурс
albuquerque	noun	Альбуке́рке
alcalá de henares	noun	Алькала̀-де-Эна́рес
alchevsk	noun	Алче́вск
alcibiades	noun	Алкивиа́д|Алкивиад
alcmene	noun	Алкме́на
alcyone	noun	Альцио́на
aldebaran	noun	Альдебара́н|Альдебаран
alec	noun	А́лек
alecto	noun	Алекто́
alectryon	noun	Алектио́н|Алектрио́н
aleister	noun	А́листер
alejandro	noun	Алеха́ндро
alemannic	noun	алема́ннский|[[алема́ннский]] [[диале́кт]]
aleppine	adjective	але́ппский
aleppo	noun	Але́ппо|Алеппо
aleut	adjective	алеу́тский|алеу́т|алеу́тка|алеутский язык
aleutian	adjective	алеу́тский|алеу́т|алеу́тка
aleutian islands	noun	Алеу́тские острова́|Алеутские острова
alexander	noun	Александр|Алекса́ндр
alexander the great	noun	Алекса́ндр Вели́кий|Алекса́ндр Македо́нский
alexandra	noun	Алекса́ндра|Александра
alexandretta	noun	Александре́тта
alexandria	noun	Александри́я|Александрия|Алегза́ндрия|Алекса́ндрия|Алекса́ндра
alexandrian	adjective	Александри́йский
alexandrianism	noun	александрианизм
alexandrina	noun	Александри́на
alexandropol	noun	Александро́поль
alexandroupoli	noun	Александру́полис
alexandrovsk-sakhalinsky	noun	Алекса́ндровск-Сахали́нский
alexius	noun	Алексе́й|Алекси́й
alfonso	noun	Альфонс
alfred	noun	А́лфред|А́льфред|Альфре́д
alfvén	noun	Альфве́н
alfvén wave	noun	альфве́новская волна́
algeria	noun	Алжир|Алжи́р
algerian	adjective	алжи́рский|алжирский|алжи́рец|алжи́рка|алжирец
algherese	noun	альге́рский
alghero	noun	Алге́р|Альге́ро
algiers	noun	Алжи́р|Алжир
algol	noun	Алго́ль
algonquian	adjective	алгонки́нский
algonquin	noun	алгонки́н
ali	noun	Али́
ali baba	noun	Али́-Баба́
alice	noun	Али́са|Э́лис
alice springs	noun	А́лис-Спри́нгс
alice in wonderland	adjective	Али́са в Стране́ чуде́с
aliona	noun	Алёна
alistair	noun	А́листер
aliyev	noun	Али́ев
all hallows	noun	день всех святы́х
all saints' day	noun	День всех святы́х
all souls' day	noun	День всех усо́пших
allah	noun	Алла́х|Аллах
allahabad	noun	Аллахаба́д
allahu akbar		Алла́х а́кбар|Алла́х вели́к|Алла́ху а́кбар
allat	noun	Алла́т|ал-Ла́т
allen key	noun	и́нбус|и́нбусовый ключ|шестигра́нный ключ
allier	noun	Алье
allies	noun	анти[[Гитлер|ги́тлер]]овская [[коали́ция]]|союзник
alma-ata	noun	Алма́-Ата́
almaty	noun	Алма-Ата́|Алматы́
almazna	noun	Алма́зная
almere	noun	Алме́ре
almería	noun	Альмерия
almetyevsk	noun	Альметьевск
almighty	noun	всемогущий|всемогу́щий|всеси́льный
almoravid	noun	альмора́вид
alor setar	noun	Алор-Сетар
aloysius	noun	Алоиз
alpha centauri	noun	А́льфа Цента́вра
alpheus	noun	Алфе́й
alpine	adjective	альпи́йский|высокого́рный|го́рный
alps	noun	А́льпы|Альпы
alsace	noun	Эльза́с|Эльзас
alsace-lorraine	noun	Эльза́с-Лотари́нгия
alsatian	adjective	эльза́сский|эльза́сец|эльза́ска|эльзасский
altai	noun	Алта́й
altai krai	noun	Алта́йский край
altai republic	noun	Алта́й|Респу́блика Алта́й
altaic	adjective	алта́йский
altair	noun	Альтаи́р
altay	noun	Алта́й
alupka	noun	Алу́пка
alushta	noun	Алу́шта
alvin	noun	Элвин
alviri-vidari	noun	алвири́-видари́
alvíssmál	noun	А́львис
alyona	noun	Алёна
alytus	noun	Али́тус|Алиту́с
alzheimer's disease	noun	Альцге́ймер|боле́знь Альцге́ймера
amami rabbit	noun	па́зающий за́яц|япо́нский древе́сный за́яц
amanda	noun	Ама́нда
amapá	noun	Амапа́
amaterasu	noun	Аматэрасу
amazon	noun	амазо́нка|амазо́нский|Амазо́нка|Амазонка
amazonas	noun	Амазо́нас
amazonian	adjective	амазо́нский
amba	noun	Амба
ambazonia	noun	Амбазо́ния
ambika	noun	Амбика
ambrose	noun	Амвро́сий|Амвросий
ame-no-uzume	noun	А̀мэ-но-Удзумэ́
amelia	noun	Аме́лия
american	adjective	америка́нский|американский|америка́нец|америка́нка|америка́нцы|американец
american bulldog	noun	америка́нский бульдо́г
american civil war	noun	война́ Се́вера и Ю́га|гражда́нская война́ в США
american cordillera	noun	Кордилье́ры
american dream	noun	америка́нская мечта́
american english	noun	америка́нский англи́йский
american samoa	noun	Америка́нское Само́а|Восто́чное Само́а
american sign language	noun	америка́нский язы́к же́стов|амсле́н
american alligator	noun	миссиси́пский аллига́тор
american badger	noun	америка́нский барсу́к
american beaver	noun	кана́дский бобр
american bison	noun	бизо́н
american bittern	noun	америка́нская выпь
american black bear	noun	бариба́л|чёрный медве́дь
american black duck	noun	Американская чёрная кряква
american bullfrog	noun	лягу́шка-бы́к|лягу́шка-во́л
american cliff swallow	noun	белоло́бая го́рная ла́сточка|белоло́бая ла́сточка
american football	noun	америка́нский футбо́л|американский футбол
american golden plover	noun	америка́нская ржа́нка|бурокры́лая ржа́нка
american kestrel	noun	америка́нская пустельга́|воробьи́ная пустельга́
american mink	noun	америка́нская но́рка
american perch	noun	америка́нский о́кунь|жёлтый о́кунь
american robin	noun	стра́нствующий дрозд
american tree sparrow	noun	воробьи́ная овся́нка
american white ibis	noun	бе́лый и́бис
american wigeon	noun	америка́нская свия́зь
american woodcock	noun	америка́нский ва́льдшнеп
americanisation	noun	американиза́ция
americanism	noun	американи́зм|американизм
americanize	verb	американизи́ровать
americas	noun	Аме́рика
americophilia	noun	америкома́ния|америкофи́лия
americophobia	noun	америкофо́бия|антиамерикани́зм
amharic	noun	амха́рский|амха́рский язы́к
amida	noun	Амида
amiens	noun	Амье́н
amina	noun	Ами́на|А́мина
amir	noun	Ами́р
amitābha	noun	Амита́бха
amitābha buddha	noun	Амита́бха
amman	noun	Амма́н|Амман
ammiyya	noun	«[[да́риджа]]»|«аммийя»
ammon	noun	аммонитя́не
amorite	noun	аморе́й|амори́т
amos	noun	Амо́с
amphitrite	noun	Амфитри́та
amphitryon	noun	амфитрио́н
amritsar	noun	Амритса́р
amstelveen	noun	Амстелве́н
amsterdam	noun	Амстерда́м|Амстердам
amsterdammer	noun	амстерда́мец|амстерда́мка
amu darya	noun	Аму-Дарья́|Амударья́
amundsen	noun	А́мундсен
amur	noun	Аму́р|Хэйлунцзя́н|Аму́рская о́бласть
amur falcon	noun	аму́рский ко́бчик|во́сточный ко́бчик
amur leopard	noun	аму́рский барс|аму́рский леопа́рд|восточносиби́рский леопа́рд|дальневосто́чный леопа́рд|маньчжу́рский леопа́рд
amuzgo	noun	[[язы́к]] [[аму́сго]]|аму́сго
amvrosiivka	noun	Амвро́сиевка
anabaptism	noun	анабапти́зм
anabaptist	noun	анабапти́ст|анабапти́стка
anadyr	noun	Ана́дырь
anah	noun	Ана
anahita	noun	Анахи́та
ananda	noun	А́нанда|Ананда́
ananias	noun	Ана́ния
ananiv	noun	Ана́ньев
ananta	noun	Ана́нта
anapa	noun	Ана́па
anasazi	noun	анаса́зи
anastasia	noun	Анастаси́я|Наста́сья|Анастасия
anastasius	noun	Анаста́сий|Наста́сий
anasuya	noun	Анасу́я
anat	noun	Ана́т
anatoli	noun	Анато́лий
anatolia	noun	Анато́лия|Анатолия
anatolian	adjective	анатоли́йски́й|анатолийский
anatolius	noun	Анато́лий
anaxagoras	noun	Анаксаго́р
anaxarchus	noun	Анакса́рх
anaxarete	noun	Анаксаре́та
anaximander	noun	Анаксима́ндр
anaximenes	noun	Анаксиме́н
anchises	noun	Анхиз
anchorage	noun	А́нкоридж|Анкоридж|я́корная стоя́нка|опо́ра
ancien régime	noun	старый режим
ancient egypt	noun	Дре́вний Еги́пет
ancient greece	noun	Дре́вняя Гре́ция|Элла́да
ancient greek	noun	древнегре́ческий|[[древнегре́ческий]] [[язы́к]]
ancient rome	noun	Дре́вний Рим
ancient of days	noun	Ве́тхий де́нми
ancona	noun	Анко́на
ancus	noun	Анк
andalusia	noun	Андалу́сия|Андалусия
andaman	adjective	андама́нский
andaman islands	noun	Андама́нские острова́
andaman sea	noun	Андама́нское мо́ре
andaman and nicobar islands	noun	Андама́нские и Никоба́рские острова́
andean cat	noun	а́ндская ко́шка
andean condor	noun	а́ндский ко́ндор
andean flamingo	noun	а́ндский флами́нго
andean hairy armadillo	noun	чили́йский бронено́сец
anderlecht	noun	Андерлехт
andersen	noun	А́ндерсен
anderson	noun	Андре́ев|Андре́ева
andes	noun	А́нды|Анды
andhra pradesh	noun	Андхра-Праде́ш
andijan	noun	Андижан
andorra	noun	Андорра|Андо́рра
andorra la vella	noun	Андо́рра-ла-Ве́лья|Андо́рра-ла-Вье́ха
andorran	adjective	андо́ррский|андоррский|[[жи́тель]] [[Андорра|Андо́рры]]|[[жи́тельница]] [[Андорра|Андо́рры]]|андо́ррец
andrew	noun	Андре́й|Э́ндрю|Андрей
andrey	noun	Андре́й
andriy	noun	Андрей
android	noun	Андро́ид|человекоподо́бный|андроид|андро́ид|ро́бот
